IGS14     130000000W 52000000W 52 42000000N 78000000N 36   Mainland Canada      
  4 33    74.000000   234.500000  -13.59    2.46  -14.95    2.34    0.19    2.74
  4 34    75.000000   234.500000  -13.40    3.26  -14.59    3.04    0.22    3.65
  4 35    76.000000   234.500000  -13.24    3.97  -14.06    3.60    0.26    4.48
  4 36    77.000000   234.500000  -13.12    4.54  -13.36    3.98    0.31    5.15
  4 37    78.000000   234.500000  -13.05    4.91  -12.49    4.09    0.33    5.59
  5  1    42.000000   236.000000   -2.37    0.32  -12.64    0.31    0.76    0.55
  5  2    43.000000   236.000000   -3.09    0.18  -11.86    0.18   -0.03    0.34
  5  3    44.000000   236.000000   -3.56    0.23   -8.21    0.22    1.03    0.44
  5  4    45.000000   236.000000   -3.22    0.13   -5.84    0.13    0.89    0.28
  5  5    46.000000   236.000000   -3.63    0.17   -5.94    0.17   -0.01    0.36
  5  6    47.000000   236.000000   -4.00    0.22   -4.87    0.21    0.30    0.37
  5  7    48.000000   236.000000   -6.73    0.16   -6.09    0.15    2.17    0.30
  5  8    49.000000   236.000000   -7.87    0.15   -8.05    0.15    1.02    0.26
  5  9    50.000000   236.000000   -8.90    0.33  -10.45    0.32    2.56    0.69
  5 10    51.000000   236.000000  -11.03    1.21  -12.49    1.20    4.18    1.49
  5 11    52.000000   236.000000  -11.58    1.32  -13.98    1.31    3.36    1.58
  5 12    53.000000   236.000000  -11.98    1.40  -14.63    1.36    3.13    1.63
  5 13    54.000000   236.000000  -12.41    1.44  -14.76    1.38    3.27    1.68
  5 14    55.000000   236.000000  -12.72    1.58  -14.73    1.53    3.09    1.85
  5 15    56.000000   236.000000  -12.88    1.70  -14.72    1.67    2.74    1.99
  5 16    57.000000   236.000000  -13.00    1.71  -14.78    1.69    2.50    1.99
  5 17    58.000000   236.000000  -13.21    1.49  -14.87    1.48    2.38    1.74
  5 18    59.000000   236.000000  -13.57    1.26  -14.84    1.24    2.27    1.48
  5 19    60.000000   236.000000  -14.08    1.57  -14.57    1.56    2.16    1.85
  5 20    61.000000   236.000000  -14.51    1.93  -14.17    1.92    2.09    2.26
  5 21    62.000000   236.000000  -14.73    2.17  -13.84    2.16    2.23    2.52
  5 22    63.000000   236.000000  -14.72    2.33  -13.70    2.32    2.52    2.67
  5 23    64.000000   236.000000  -14.59    2.44  -13.72    2.42    2.78    2.74
  5 24    65.000000   236.000000  -14.42    2.51  -13.85    2.47    2.87    2.75
  5 25    66.000000   236.000000  -14.26    2.52  -14.05    2.47    2.77    2.70
  5 26    67.000000   236.000000  -14.13    2.45  -14.31    2.39    2.52    2.59
  5 27    68.000000   236.000000  -14.03    2.30  -14.61    2.24    2.19    2.42
  5 28    69.000000   236.000000  -13.96    2.07  -14.95    2.02    1.79    2.19
  5 29    70.000000   236.000000  -13.90    1.73  -15.30    1.70    1.37    1.88
  5 30    71.000000   236.000000  -13.81    1.31  -15.59    1.30    0.93    1.49
  5 31    72.000000   236.000000  -13.70    1.03  -15.73    1.03    0.56    1.26
  5 32    73.000000   236.000000  -13.55    1.62  -15.57    1.57    0.45    1.87
  5 33    74.000000   236.000000  -13.38    2.40  -15.26    2.29    0.43    2.71
  5 34    75.000000   236.000000  -13.20    3.16  -14.83    2.94    0.44    3.56
  5 35    76.000000   236.000000  -13.06    3.84  -14.25    3.48    0.46    4.35
  5 36    77.000000   236.000000  -12.95    4.39  -13.52    3.83    0.49    4.98
  5 37    78.000000   236.000000  -12.88    4.74  -12.62    3.93    0.50    5.40
  6  1    42.000000   237.500000   -5.51    0.26  -15.57    0.25   -1.05    0.55
  6  2    43.000000   237.500000   -5.83    0.26  -14.45    0.25   -0.48    0.47
  6  3    44.000000   237.500000   -6.57    0.22  -11.55    0.21   -1.72    0.42
  6  4    45.000000   237.500000   -6.45    0.14  -10.99    0.14   -1.13    0.28
  6  5    46.000000   237.500000   -6.38    0.12   -9.96    0.12   -1.56    0.18
  6  6    47.000000   237.500000   -7.59    0.12   -9.64    0.12   -0.86    0.17
  6  7    48.000000   237.500000   -8.43    0.12   -9.44    0.11   -1.36    0.20
  6  8    49.000000   237.500000   -9.23    0.17  -10.40    0.16   -1.11    0.25
  6  9    50.000000   237.500000  -10.30    0.29  -10.87    0.28    5.43    0.41
  6 10    51.000000   237.500000  -10.83    1.15  -12.25    1.14    4.69    1.35
  6 11    52.000000   237.500000  -11.37    0.49  -14.06    0.48    1.89    0.57
  6 12    53.000000   237.500000  -11.92    1.05  -14.78    1.02    2.09    1.23
  6 13    54.000000   237.500000  -12.43    0.78  -14.98    0.57    3.09    0.92
  6 14    55.000000   237.500000  -12.56    1.40  -15.04    1.34    3.08    1.64
  6 15    56.000000   237.500000  -12.70    1.41  -15.02    1.37    2.83    1.66
  6 16    57.000000   237.500000  -12.85    1.43  -15.02    1.40    2.72    1.68
  6 17    58.000000   237.500000  -13.03    1.21  -15.06    1.19    2.76    1.42
  6 18    59.000000   237.500000  -13.26    0.49  -15.06    0.43    2.79    0.62
  6 19    60.000000   237.500000  -13.66    1.53  -14.87    1.52    2.82    1.80
  6 20    61.000000   237.500000  -13.98    2.01  -14.64    2.00    2.85    2.35
  6 21    62.000000   237.500000  -14.16    2.27  -14.45    2.26    2.94    2.64
  6 22    63.000000   237.500000  -14.19    2.42  -14.34    2.41    3.10    2.79
  6 23    64.000000   237.500000  -14.12    2.50  -14.33    2.48    3.24    2.85
  6 24    65.000000   237.500000  -14.00    2.53  -14.40    2.50    3.29    2.84
  6 25    66.000000   237.500000  -13.87    2.49  -14.54    2.45    3.19    2.77
  6 26    67.000000   237.500000  -13.76    2.38  -14.76    2.34    2.97    2.62
  6 27    68.000000   237.500000  -13.67    2.21  -15.06    2.17    2.65    2.42
  6 28    69.000000   237.500000  -13.60    1.96  -15.42    1.93    2.25    2.16
  6 29    70.000000   237.500000  -13.55    1.62  -15.78    1.60    1.81    1.81
  6 30    71.000000   237.500000  -13.47    1.27  -16.05    1.26    1.37    1.47
  6 31    72.000000   237.500000  -13.38    1.18  -16.12    1.18    1.00    1.42
  6 32    73.000000   237.500000  -13.26    1.68  -15.94    1.64    0.81    1.95
  6 33    74.000000   237.500000  -13.11    2.39  -15.58    2.28    0.74    2.72
  6 34    75.000000   237.500000  -12.97    3.10  -15.09    2.88    0.70    3.51
  6 35    76.000000   237.500000  -12.84    3.73  -14.47    3.37    0.70    4.24
  6 36    77.000000   237.500000  -12.74    4.25  -13.70    3.70    0.70    4.83
  6 37    78.000000   237.500000  -12.68    4.59  -12.79    3.79    0.71    5.23
  7  1    42.000000   239.000000   -6.91    0.47  -16.05    0.45   -0.93    0.83
  7  2    43.000000   239.000000   -6.91    0.33  -14.97    0.32   -1.59    0.56
  7  3    44.000000   239.000000   -8.17    0.20  -13.42    0.20   -0.76    0.35
  7  4    45.000000   239.000000   -8.51    0.25  -12.97    0.24   -1.88    0.42
  7  5    46.000000   239.000000   -8.60    0.15  -11.78    0.14   -1.05    0.25
  7  6    47.000000   239.000000   -9.03    0.17  -11.87    0.17   -0.90    0.26
  7  7    48.000000   239.000000   -9.25    0.27  -11.93    0.27   -1.13    0.44
  7  8    49.000000   239.000000   -9.96    0.44  -12.77    0.42    2.39    0.70
  7  9    50.000000   239.000000  -10.25    1.13  -12.80    1.12    3.96    1.34
  7 10    51.000000   239.000000  -10.83    1.33  -13.13    1.31    3.83    1.55
  7 11    52.000000   239.000000  -11.28    1.17  -14.02    1.16    2.30    1.37
  7 12    53.000000   239.000000  -11.74    1.28  -14.67    1.26    2.22    1.50
  7 13    54.000000   239.000000  -12.06    1.29  -15.05    1.23    3.04    1.51
  7 14    55.000000   239.000000  -12.19    1.28  -15.24    1.23    3.40    1.50
  7 15    56.000000   239.000000  -12.40    0.70  -15.20    0.59    3.05    0.86
  7 16    57.000000   239.000000  -12.62    1.15  -15.16    1.10    3.15    1.36
  7 17    58.000000   239.000000  -12.80    1.33  -15.17    1.31    3.39    1.56
  7 18    59.000000   239.000000  -12.98    1.30  -15.18    1.29    3.53    1.53
  7 19    60.000000   239.000000  -13.22    1.67  -15.15    1.65    3.61    1.95
  7 20    61.000000   239.000000  -13.44    2.05  -15.09    2.04    3.63    2.39
  7 21    62.000000   239.000000  -13.58    2.27  -15.02    2.26    3.67    2.64
  7 22    63.000000   239.000000  -13.61    2.40  -14.97    2.38    3.73    2.78
  7 23    64.000000   239.000000  -13.59    2.46  -14.94    2.44    3.80    2.83
  7 24    65.000000   239.000000  -13.51    2.46  -14.95    2.44    3.80    2.82
  7 25    66.000000   239.000000  -13.42    2.39  -15.03    2.36    3.70    2.73
  7 26    67.000000   239.000000  -13.33    2.25  -15.21    2.21    3.49    2.56
  7 27    68.000000   239.000000  -13.26    2.06  -15.50    2.02    3.18    2.33
  7 28    69.000000   239.000000  -13.20    1.79  -15.87    1.77    2.78    2.03
  7 29    70.000000   239.000000  -13.16    1.44  -16.25    1.43    2.34    1.63
  7 30    71.000000   239.000000  -13.10    1.13  -16.50    1.12    1.88    1.32
  7 31    72.000000   239.000000  -13.02    1.24  -16.52    1.23    1.50    1.47
  7 32    73.000000   239.000000  -12.93    1.75  -16.30    1.71    1.24    2.03
  7 33    74.000000   239.000000  -12.81    2.40  -15.90    2.29    1.10    2.75
  7 34    75.000000   239.000000  -12.69    3.05  -15.37    2.84    1.02    3.47
  7 35    76.000000   239.000000  -12.58    3.65  -14.71    3.29    0.97    4.15
  7 36    77.000000   239.000000  -12.49    4.13  -13.91    3.59    0.96    4.71
  7 37    78.000000   239.000000  -12.45    4.45  -12.97    3.67    0.95    5.08
  8  1    42.000000   240.500000   -7.69    0.62  -16.56    0.61    1.25    1.08
  8  2    43.000000   240.500000   -8.51    0.29  -15.41    0.28   -0.85    0.53
  8  3    44.000000   240.500000   -8.77    0.32  -14.33    0.31   -0.65    0.67
  8  4    45.000000   240.500000   -9.35    0.31  -13.78    0.30   -0.52    0.66
  8  5    46.000000   240.500000   -9.34    0.20  -13.01    0.20   -2.24    0.33
  8  6    47.000000   240.500000   -9.81    0.28  -13.01    0.27   -0.90    0.45
  8  7    48.000000   240.500000  -10.06    0.17  -12.94    0.16   -0.59    0.23
  8  8    49.000000   240.500000  -10.18    0.34  -13.09    0.29    0.04    0.43
  8  9    50.000000   240.500000  -10.36    0.67  -13.40    0.56    2.22    0.81
  8 10    51.000000   240.500000  -10.76    1.31  -13.62    1.23    3.25    1.52
  8 11    52.000000   240.500000  -11.20    1.46  -13.88    1.41    2.87    1.70
  8 12    53.000000   240.500000  -11.57    1.38  -14.38    1.33    2.71    1.61
  8 13    54.000000   240.500000  -11.72    1.32  -14.96    1.27    3.35    1.54
  8 14    55.000000   240.500000  -11.66    1.04  -15.41    0.94    4.16    1.23
  8 15    56.000000   240.500000  -12.04    1.00  -15.36    0.96    4.05    1.17
  8 16    57.000000   240.500000  -12.37    1.20  -15.21    1.16    4.01    1.41
  8 17    58.000000   240.500000  -12.52    1.43  -15.20    1.41    4.22    1.68
  8 18    59.000000   240.500000  -12.62    1.55  -15.29    1.53    4.40    1.81
  8 19    60.000000   240.500000  -12.76    1.77  -15.41    1.76    4.47    2.07
  8 20    61.000000   240.500000  -12.89    2.01  -15.51    2.00    4.45    2.34
  8 21    62.000000   240.500000  -12.99    2.15  -15.58    2.14    4.41    2.50
  8 22    63.000000   240.500000  -13.02    2.24  -15.58    2.23    4.41    2.60
  8 23    64.000000   240.500000  -13.02    2.31  -15.53    2.29    4.41    2.68
  8 24    65.000000   240.500000  -12.98    2.32  -15.49    2.29    4.38    2.70
  8 25    66.000000   240.500000  -12.92    2.22  -15.50    2.18    4.27    2.60
  8 26    67.000000   240.500000  -12.86    2.04  -15.63    2.00    4.07    2.39
  8 27    68.000000   240.500000  -12.80    1.83  -15.90    1.79    3.76    2.14
  8 28    69.000000   240.500000  -12.76    1.56  -16.29    1.54    3.36    1.81
  8 29    70.000000   240.500000  -12.73    1.15  -16.69    1.15    2.91    1.33
  8 30    71.000000   240.500000  -12.68    0.83  -16.93    0.82    2.45    0.98
  8 31    72.000000   240.500000  -12.64    1.22  -16.90    1.21    2.03    1.44
  8 32    73.000000   240.500000  -12.57    1.82  -16.64    1.77    1.71    2.10
  8 33    74.000000   240.500000  -12.48    2.43  -16.22    2.32    1.50    2.79
  8 34    75.000000   240.500000  -12.38    3.03  -15.66    2.83    1.37    3.46
  8 35    76.000000   240.500000  -12.29    3.58  -14.96    3.23    1.28    4.08
  8 36    77.000000   240.500000  -12.22    4.02  -14.14    3.50    1.24    4.60
  8 37    78.000000   240.500000  -12.18    4.33  -13.18    3.58    1.22    4.95
  9  1    42.000000   242.000000   -8.86    0.41  -15.85    0.41    0.69    0.66
  9  2    43.000000   242.000000   -9.29    0.19  -15.43    0.18   -0.67    0.32
  9  3    44.000000   242.000000   -9.71    0.29  -14.61    0.28   -0.22    0.75
  9  4    45.000000   242.000000   -9.66    0.26  -14.38    0.25   -0.71    0.44
  9  5    46.000000   242.000000  -10.09    0.33  -13.72    0.32   -0.11    0.82
  9  6    47.000000   242.000000   -9.54    0.36  -13.67    0.35   -0.20    0.55
  9  7    48.000000   242.000000  -10.07    0.46  -13.29    0.45   -0.77    0.64
  9  8    49.000000   242.000000   -9.89    0.64  -13.51    0.62    0.44    0.93
  9  9    50.000000   242.000000  -10.38    1.15  -13.54    1.05    2.20    1.34
  9 10    51.000000   242.000000  -10.69    1.19  -13.43    1.06    3.24    1.37
  9 11    52.000000   242.000000  -11.04    1.28  -13.68    1.20    2.97    1.49
  9 12    53.000000   242.000000  -11.44    0.82  -14.07    0.65    2.68    0.96
  9 13    54.000000   242.000000  -11.55    1.00  -14.80    0.93    3.33    1.17
  9 14    55.000000   242.000000  -11.33    0.79  -15.43    0.65    4.52    0.94
  9 15    56.000000   242.000000  -11.84    0.68  -15.30    0.61    4.67    0.81
  9 16    57.000000   242.000000  -12.12    0.97  -15.17    0.90    4.77    1.14
  9 17    58.000000   242.000000  -12.16    1.26  -15.21    1.24    5.07    1.48
  9 18    59.000000   242.000000  -12.20    1.37  -15.38    1.35    5.29    1.61
  9 19    60.000000   242.000000  -12.28    1.66  -15.64    1.64    5.33    1.95
  9 20    61.000000   242.000000  -12.35    1.84  -15.91    1.83    5.24    2.15
  9 21    62.000000   242.000000  -12.40    1.87  -16.10    1.86    5.14    2.18
  9 22    63.000000   242.000000  -12.42    1.93  -16.16    1.92    5.08    2.25
  9 23    64.000000   242.000000  -12.44    2.05  -16.09    2.04    5.05    2.40
  9 24    65.000000   242.000000  -12.43    2.11  -15.98    2.08    5.00    2.48
  9 25    66.000000   242.000000  -12.39    1.99  -15.94    1.95    4.89    2.38
  9 26    67.000000   242.000000  -12.35    1.75  -16.01    1.68    4.69    2.13
  9 27    68.000000   242.000000  -12.32    1.51  -16.25    1.44    4.39    1.85
  9 28    69.000000   242.000000  -12.29    1.31  -16.64    1.27    3.97    1.57
  9 29    70.000000   242.000000  -12.27    0.86  -17.07    0.86    3.51    1.01
  9 30    71.000000   242.000000  -12.25    0.37  -17.33    0.35    3.03    0.45
  9 31    72.000000   242.000000  -12.22    1.25  -17.24    1.23    2.57    1.46
  9 32    73.000000   242.000000  -12.18    1.89  -16.96    1.84    2.19    2.18
  9 33    74.000000   242.000000  -12.12    2.47  -16.52    2.37    1.93    2.84
